Displacement_(mm),Force_(kN)
-17.0167,11.3917
-17.0232,11.3788
-16.9875,11.3982
-16.994,11.3852
-16.9583,11.3885
-16.9486,11.382
-16.9388,11.3917
-16.9291,11.3852
-16.8999,11.4177
-16.8901,11.4047
-16.8901,11.4112
-16.8642,11.421
-16.8577,11.4047
-16.8382,11.4047
-16.8155,11.421
-16.8122,11.4112
-16.809,11.4242
-16.7603,11.4274
-16.7473,11.4372
-16.7603,11.4274
-16.7441,11.4242
-16.7148,11.4372
-16.7116,11.4112
-16.6856,11.4307
-16.6954,11.4242
-16.6694,11.4339
-16.6467,11.4437
-16.6304,11.4469
-16.6272,11.4372
-16.6012,11.4307
-16.6077,11.4469
-16.5688,11.4469
-16.5817,11.4502
-16.5428,11.4632
-16.533,11.4502
-16.5266,11.4534
-16.5103,11.4632
-16.5006,11.4567
-16.4876,11.4567
-16.4681,11.4502
-16.4486,11.4469
-16.4357,11.4502
-16.4259,11.4437
-16.4064,11.4599
-16.387,11.4697
-16.387,11.4534
-16.361,11.4729
-16.3545,11.4826
-16.335,11.4697
-16.3188,11.4697
-16.3091,11.4794
-16.322,11.4794
-16.2896,11.4794
-16.2701,11.4697
-16.2539,11.4924
-16.2344,11.4729
-16.2279,11.4729
-16.2117,11.4859
-16.1987,11.5021
-16.163,11.5054
-16.1792,11.4891
-16.163,11.4924
-16.1467,11.5086
-16.1273,11.5021
-16.1143,11.5119
-16.098,11.4891
-16.0721,11.4956
-16.0786,11.4956
-16.0688,11.5119
-16.0266,11.4989
-16.0331,11.5183
-16.0234,11.5248
-16.0104,11.4891
-15.9812,11.5183
-15.9844,11.5151
-15.9455,11.5248
-15.939,11.5378
-15.913,11.5346
-15.9162,11.5183
-15.8903,11.5313
-15.8838,11.5281
-15.8708,11.5216
-15.8578,11.5119
-15.8416,11.5151
-15.8189,11.5248
-15.8091,11.5281
-15.8124,11.5605
-15.7734,11.5313
-15.7669,11.5443
-15.7442,11.5443
-15.7409,11.5346
-15.7247,11.5378
-15.715,11.5476
-15.6825,11.5476
-15.6858,11.5411
-15.65,11.5378
-15.6468,11.5476
-15.6371,11.5411
-15.6111,11.5378
-15.6078,11.5411
-15.6176,11.5508
-15.5916,11.5378
-15.5721,11.5411
-15.5527,11.5573
-15.5494,11.5476
-15.5429,11.5508
-15.5267,11.5865
-15.491,11.567
-15.4845,11.5443
-15.465,11.5573
-15.4553,11.5833
-15.4325,11.5768
-15.4066,11.5963
-15.4033,11.5638
-15.3903,11.5898
-15.3709,11.58
-15.3741,11.5833
-15.3481,11.5476
-15.3319,11.5833
-15.3319,11.5963
-15.2962,11.58
-15.293,11.58
-15.2572,11.5865
-15.2637,11.5898
-15.2475,11.5995
-15.2313,11.5703
-15.2215,11.5963
-15.2053,11.5995
-15.1988,11.5768
-15.1891,11.593
-15.1696,11.5963
-15.1501,11.6028
-15.1306,11.606
-15.1177,11.593
-15.1047,11.6092
-15.1014,11.6157
-15.069,11.606
-15.0625,11.5995
-15.0657,11.6028
-15.0332,11.5995
-15.0203,11.5963
-15.0203,11.6125
-14.9813,11.606
-14.9846,11.6125
-14.9456,11.6092
-14.9326,11.6222
-14.9294,11.619
-14.9099,11.619
-14.8937,11.6352
-14.9066,11.6028
-14.8807,11.5898
-14.8677,11.6125
-14.8417,11.6157
-14.8287,11.6255
-14.8125,11.6287
-14.8093,11.6352
-14.793,11.5833
-14.7638,11.6157
-14.7671,11.6028
-14.7443,11.6125
-14.7313,11.6255
-14.7249,11.6417
-14.7119,11.6417
-14.6826,11.6352
-14.6697,11.632
-14.6697,11.6385
-14.6469,11.6482
-14.6307,11.6385
-14.6112,11.6255
-14.6145,11.6352
-14.5982,11.6417
-14.569,11.6352
-14.5625,11.6514
-14.5528,11.6482
-14.5463,11.6352
-14.5203,11.6255
-14.5171,11.632
-14.4976,11.6579
-14.4781,11.6385
-14.4716,11.645
-14.4489,11.6482
-14.4229,11.6547
-14.41,11.6547
-14.4132,11.6644
-14.3807,11.6612
-14.371,11.6547
-14.3645,11.6579
-14.3353,11.6417
-14.3353,11.6547
-14.3191,11.6644
-14.2931,11.6644
-14.2736,11.6644
-14.2704,11.6644
-14.2639,11.645
-14.2476,11.6579
-14.2476,11.6677
-14.2054,11.6742
-14.1957,11.6514
-14.1892,11.6612
-14.173,11.6514
-14.173,11.6644
-14.1665,11.6644
-14.121,11.6742
-14.1243,11.6579
-14.1145,11.6807
-14.0983,11.6644
-14.0691,11.6644
-14.0366,11.6742
-14.0334,11.6872
-14.0301,11.6774
-13.9944,11.6872
-13.9814,11.6936
-13.9717,11.6709
-13.9685,11.6807
-13.9457,11.6839
-13.936,11.6742
-13.9198,11.6742
-13.897,11.6904
-13.897,11.6742
-13.8711,11.6807
-13.8678,11.6904
-13.8548,11.6839
-13.8354,11.6936
-13.8224,11.7034
-13.8224,11.6807
-13.8094,11.6969
-13.7769,11.6742
-13.7607,11.7196
-13.7412,11.6904
-13.725,11.6969
